country,iso_code,year,external_debt_pct_gni,debt_service_pct_exports,gdp_growth_pct,reserves_months_imports,inflation_pct,score_debt_gni,score_debt_service,score_gdp_growth,score_reserves,score_inflation,indicators_available,debt_risk_score,trend_slope,years_used,risk_tier
Chile,CHL,2024,,,2.80512637106611,4.1513186825607,4.29763891572524,,,59.70627954085078,51.75438596491228,57.32107682206172,3,56.2605807759416,2.4671699947700567,5.0,Elevated Risk
China,CHN,2024,13.0007522555005,8.59286077464029,4.95830378788091,11.2291372513816,0.218128938439177,5.139257294429708,40.4778636683064,32.73126266036462,9.14473684210526,8.535784635587657,5,19.20578102015873,-1.1647719639337064,5.0,Low Risk
Colombia,COL,2024,49.2038699846531,42.9975933296769,1.49330728771066,7.34464091398545,6.60908593728228,57.12864721485411,96.41602248770204,73.7846049966239,20.263157894736835,72.77303567520245,5,64.07309365382386,1.3980198690105958,5.0,Elevated Risk
Comoros,COM,2024,24.8117198831103,17.3446983217314,3.30071498500033,,5.05192609588218,22.380636604774537,73.33099086437105,53.51114112086428,,63.471219085138976,4,53.173496918787215,5.444613378742822,5.0,Elevated Risk
"Congo, Dem. Rep.",COD,2024,18.2538680171709,1.32142230470742,6.1025294442863,,,11.43899204244032,4.392129304286718,22.04591492234977,,,3,12.625678756358935,-2.68828508840258,5.0,Low Risk
"Congo, Rep.",COG,2024,44.8962409480798,13.5644191652699,2.09998918002519,,3.09143630919166,53.34880636604774,61.384399156711176,67.84267386900743,,45.06456555044868,4,56.91011123555376,-2.7509335237177073,5.0,Elevated Risk
Costa Rica,CRI,2024,,,4.08292444182048,4.22127417614531,-0.412853001047069,,,43.36596893990546,50.65789473684211,4.858831254103743,3,32.960898310283774,-3.2925063443742486,5.0,Moderate Risk
Cote d'Ivoire,CIV,2024,48.8304044647452,24.7283736134001,6.0195346193922,,3.45053028131018,56.76392572944297,85.20730850316234,22.72113436866981,,49.28868461370103,4,53.49526330374404,-5.5723813395093735,5.0,Elevated Risk
Croatia,HRV,2024,,,3.82578440126859,0.693400821202554,2.97200477643618,,,46.74206617150573,94.82456140350877,43.641934777850736,3,61.73618745095508,8.721229857438274,5.0,Elevated Risk
Cyprus,CYP,2024,,,3.94076934447787,0.33121149973327,1.80023018624815,,,45.0877785280216,97.36842105263158,27.20507769752681,3,56.55375909272666,0.3450831176919361,5.0,Elevated Risk
Czechia,CZE,2024,,,1.25131096245923,7.03426793783424,2.43531202435314,,,76.1141120864281,22.280701754385973,36.222368133070695,3,44.87239399129492,-1.0153550884160565,5.0,Moderate Risk
